date,sp500
2017-03-01,2395.96
2017-03-02,2381.9199
2017-03-03,2383.1201
2017-03-06,2375.3101
2017-03-07,2368.3899
2017-03-08,2362.98
2017-03-09,2364.8701
2017-03-10,2372.6001
2017-03-13,2373.47
2017-03-14,2365.45
2017-03-15,2385.26
2017-03-16,2381.3799
2017-03-17,2378.25
2017-03-20,2373.47
2017-03-21,2344.02
2017-03-22,2348.45
2017-03-23,2345.96
2017-03-24,2343.98
2017-03-27,2341.5901
2017-03-28,2358.5701
2017-03-29,2361.1299
2017-03-30,2368.0601
2017-03-31,2362.72
2017-04-03,2358.8401
2017-04-04,2360.1599
2017-04-05,2352.95
2017-04-06,2357.49
2017-04-07,2355.54
2017-04-10,2357.1599
2017-04-11,2353.78
2017-04-12,2344.9299
2017-04-13,2328.95
2017-04-14,
2017-04-17,2349.01
2017-04-18,2342.1899
2017-04-19,2338.1699
2017-04-20,2355.8401
2017-04-21,2348.6899
2017-04-24,2374.1499
2017-04-25,2388.6101
2017-04-26,2387.45
2017-04-27,2388.77
2017-04-28,2384.2
2017-05-01,2388.3301
2017-05-02,2391.1699
2017-05-03,2388.1299
2017-05-04,2389.52
2017-05-05,2399.29
2017-05-08,2399.3799
2017-05-09,2396.9199
2017-05-10,2399.6299
2017-05-11,2394.4399
2017-05-12,2390.8999
2017-05-15,2402.3201
2017-05-16,2400.6699
2017-05-17,2357.03
2017-05-18,2365.72
2017-05-19,2381.73
2017-05-22,2394.02
2017-05-23,2398.4199
2017-05-24,2404.3899
2017-05-25,2415.0701
2017-05-26,2415.8201
2017-05-29,
2017-05-30,2412.9099
2017-05-31,2411.8
2017-06-01,2430.0601
2017-06-02,2439.0701
2017-06-05,2436.1001
2017-06-06,2429.3301
2017-06-07,2433.1399
2017-06-08,2433.79
2017-06-09,2431.77
2017-06-12,2429.3899
2017-06-13,2440.3501
2017-06-14,2437.9199
2017-06-15,2432.46
2017-06-16,2433.1499
2017-06-19,2453.46
2017-06-20,2437.03
2017-06-21,2435.6101
2017-06-22,2434.5
2017-06-23,2438.3
2017-06-26,2439.0701
2017-06-27,2419.3799
2017-06-28,2440.6899
2017-06-29,2419.7
2017-06-30,2423.4099
2017-07-03,2429.01
2017-07-04,
2017-07-05,2432.54
2017-07-06,2409.75
2017-07-07,2425.1799
2017-07-10,2427.4299
2017-07-11,2425.53
2017-07-12,2443.25
2017-07-13,2447.8301
2017-07-14,2459.27
2017-07-17,2459.1399
2017-07-18,2460.6101
2017-07-19,2473.8301
2017-07-20,2473.45
2017-07-21,2472.54
2017-07-24,2469.9099
2017-07-25,2477.1299
2017-07-26,2477.8301
2017-07-27,2475.4199
2017-07-28,2472.1001
2017-07-31,2470.3
2017-08-01,2476.3501
2017-08-02,2477.5701
2017-08-03,2472.1599
2017-08-04,2476.8301
2017-08-07,2480.9099
2017-08-08,2474.9199
2017-08-09,2474.02
2017-08-10,2438.21
2017-08-11,2441.3201
2017-08-14,2465.8401
2017-08-15,2464.6101
2017-08-16,2468.1101
2017-08-17,2430.01
2017-08-18,2425.55
2017-08-21,2428.3701
2017-08-22,2452.51
2017-08-23,2444.04
2017-08-24,2438.97
2017-08-25,2443.05
2017-08-28,2444.24
2017-08-29,2446.3
2017-08-30,2457.5901
2017-08-31,2471.6499
2017-09-01,2476.55
2017-09-04,
2017-09-05,2457.8501
2017-09-06,2465.54
2017-09-07,2465.1001
2017-09-08,2461.4299
2017-09-11,2488.1101
2017-09-12,2496.48
2017-09-13,2498.3701
2017-09-14,2495.6201
2017-09-15,2500.23
2017-09-18,2503.8701
2017-09-19,2506.6499
2017-09-20,2508.24
2017-09-21,2500.6001
2017-09-22,2502.22
2017-09-25,2496.6599
2017-09-26,2496.8401
2017-09-27,2507.04
2017-09-28,2510.0601
2017-09-29,2519.3601
2017-10-02,2529.1201
2017-10-03,2534.5801
2017-10-04,2537.74
2017-10-05,2552.0701
2017-10-06,2549.3301
2017-10-09,2544.73
2017-10-10,2550.6399
2017-10-11,2555.24
2017-10-12,2550.9299
2017-10-13,2553.1699
2017-10-16,2557.6399
2017-10-17,2559.3601
2017-10-18,2561.26
2017-10-19,2562.1001
2017-10-20,2575.21
2017-10-23,2564.98
2017-10-24,2569.1299
2017-10-25,2557.1499
2017-10-26,2560.3999
2017-10-27,2581.0701
2017-10-30,2572.8301
2017-10-31,2575.26
2017-11-01,2579.3601
2017-11-02,2579.8501
2017-11-03,2587.8401
2017-11-06,2591.1299
2017-11-07,2590.6399
2017-11-08,2594.3799
2017-11-09,2584.6201
2017-11-10,2582.3
2017-11-13,2584.8401
2017-11-14,2578.8701
2017-11-15,2564.6201
2017-11-16,2585.6399
2017-11-17,2578.8501
2017-11-20,2582.1399
2017-11-21,2599.03
2017-11-22,2597.0801
2017-11-23,
2017-11-24,2602.4199
2017-11-27,2601.4199
2017-11-28,2627.04
2017-11-29,2626.0701
2017-11-30,2647.5801
2017-12-01,2642.22
2017-12-04,2639.4399
2017-12-05,2629.5701
2017-12-06,2629.27
2017-12-07,2636.98
2017-12-08,2651.5
2017-12-11,2659.99
2017-12-12,2664.1101
2017-12-13,2662.8501
2017-12-14,2652.01
2017-12-15,2675.8101
2017-12-18,2690.1599
2017-12-19,2681.47
2017-12-20,2679.25
2017-12-21,2684.5701
2017-12-22,2683.3401
2017-12-25,
2017-12-26,2680.5
2017-12-27,2682.6201
2017-12-28,2687.54
2017-12-29,2673.6101
2018-01-01,
2018-01-02,2695.8101
2018-01-03,2713.0601
2018-01-04,2723.99
2018-01-05,2743.1499
2018-01-08,2747.71
2018-01-09,2751.29
2018-01-10,2748.23
2018-01-11,2767.5601
2018-01-12,2786.24
2018-01-15,
2018-01-16,2776.4199
2018-01-17,2802.5601
2018-01-18,2798.03
2018-01-19,2810.3
2018-01-22,2832.97
2018-01-23,2839.1299
2018-01-24,2837.54
2018-01-25,2839.25
2018-01-26,2872.8701
2018-01-29,2853.53
2018-01-30,2822.4299
2018-01-31,2823.8101
2018-02-01,2821.98
2018-02-02,2762.1299
2018-02-05,2648.9399
2018-02-06,2695.1399
2018-02-07,2681.6599
2018-02-08,2581
2018-02-09,2619.55
2018-02-12,2656
2018-02-13,2662.9399
2018-02-14,2698.6299
2018-02-15,2731.2
2018-02-16,2732.22
2018-02-19,
2018-02-20,2716.26
2018-02-21,2701.3301
2018-02-22,2703.96
2018-02-23,2747.3
2018-02-26,2779.6001
2018-02-27,2744.28
2018-02-28,2713.8301
2018-03-01,2677.6699
2018-03-02,2691.25
2018-03-05,2720.9399
2018-03-06,2728.1201
2018-03-07,2726.8
2018-03-08,2738.97
2018-03-09,2786.5701
2018-03-12,2783.02
2018-03-13,2765.3101
2018-03-14,2749.48
2018-03-15,2747.3301
2018-03-16,2752.01
2018-03-19,2712.9199
2018-03-20,2716.9399
2018-03-21,2711.9299
2018-03-22,2643.6899
2018-03-23,2588.26
2018-03-26,2658.55
2018-03-27,2612.6201
2018-03-28,2605
2018-03-29,2640.8701
2018-03-30,
2018-04-02,2581.8799
2018-04-03,2614.45
2018-04-04,2644.6899
2018-04-05,2662.8401
2018-04-06,2604.47
2018-04-09,2613.1599
2018-04-10,2656.8701
2018-04-11,2642.1899
2018-04-12,2663.99
2018-04-13,2656.3
2018-04-16,2677.8401
2018-04-17,2706.3899
2018-04-18,2708.6399
2018-04-19,2693.1299
2018-04-20,2670.1399
2018-04-23,2670.29
2018-04-24,2634.5601
2018-04-25,2639.3999
2018-04-26,2666.9399
2018-04-27,2669.9099
2018-04-30,2648.05
2018-05-01,2654.8
2018-05-02,2635.6699
2018-05-03,2629.73
2018-05-04,2663.4199
2018-05-07,2672.6299
2018-05-08,2671.9199
2018-05-09,2697.79
2018-05-10,2723.0701
2018-05-11,2727.72
2018-05-14,2730.1299
2018-05-15,2711.45
2018-05-16,2722.46
2018-05-17,2720.1299
2018-05-18,2712.97
2018-05-21,2733.01
2018-05-22,2724.4399
2018-05-23,2733.29
2018-05-24,2727.76
2018-05-25,2721.3301
2018-05-28,
2018-05-29,2689.8601
2018-05-30,2724.01
2018-05-31,2705.27
2018-06-01,2734.6201
2018-06-04,2746.8701
2018-06-05,2748.8
2018-06-06,2772.3501
2018-06-07,2770.3701
2018-06-08,2779.03
2018-06-11,2782
2018-06-12,2786.8501
2018-06-13,2775.6299
2018-06-14,2782.49
